id2,id,accessPointType,name,latitude,longitude,box_type,city_abbr,street,note,slouceny,address,ID,ulice,cislo,psc,mesto
542,4554401,ParcelBox,PBOX BPE Biskupice (COOP),49.084468888,17.709432805,PBOX,BPE,Biskupice,COOP,"""49.084468888,17.709432805"",","Biskupice, 763 41 Biskupice-Biskupice u Luhačovic, Czechia",74,Biskupice,,76341,Biskupice-Biskupice u Luhačovic
1245,4435952,ParcelBox,PBOX BPH Školní (U ENAPO),49.400737194,17.681587194,PBOX,BPH,Školní,U ENAPO,"""49.400737194,17.681587194"",","Bystřice p.Host., ZŠ Bratrství, 768 61 Bystřice pod Hostýnem-Bystřice pod Hostýnem 1, Czechia",75,Bystřice p.Host.,,76861,Bystřice pod Hostýnem-Bystřice pod Hostýnem 1
354,4540734,ParcelBox,PBOX BPH Tyršova (Adam ex.),49.3968575,17.669986694,PBOX,BPH,Tyršova,Adam ex.,"""49.3968575,17.669986694"",","Tyršova 642, 768 61 Bystřice pod Hostýnem-Bystřice pod Hostýnem 1, Czechia",76,Tyršova,642,76861,Bystřice pod Hostýnem-Bystřice pod Hostýnem 1
1921,4587427,ParcelBox,PBOX BPI Dvořákova (obchod),50.740640305,14.310726694,PBOX,BPI,Dvořákova,obchod,"""50.740640305,14.310726694"",","Dvořákova 624, 407 22 Benešov nad Ploučnicí, Czechia",77,Dvořákova,624,40722,Benešov nad Ploučnicí
370,4541695,ParcelBox,PBOX BPI Sídliště (Potravin),50.741788888,14.304098111,PBOX,BPI,Sídliště,Potravin,"""50.741788888,14.304098111"",","Sídliště 695, 407 22 Benešov nad Ploučnicí, Czechia",78,Sídliště,695,40722,Benešov nad Ploučnicí
1832,4579536,ParcelBox,PBOX BPM Spojovací (Flop),49.525665305,16.252536388,PBOX,BPM,Spojovací,Flop,"""49.525665305,16.252536388"",","Spojovací 669, 593 01 Bystřice nad Pernštejnem, Czechia",79,Spojovací,669,59301,Bystřice nad Pernštejnem
1009,4334624,ParcelBox,PBOX BRC 17. Listopadu (KD),48.757593111,16.884211888,PBOX,BRC,17. Listopadu,KD,"""48.757593111,16.884211888"",","1, 17. listopadu 2964, 690 02 Břeclav-Břeclav 2, Czechia",80,17. listopadu,2964,69002,Břeclav-Břeclav 2
716,4271384,ParcelBox,PBOX BRC Fügnerova (Hruška),48.755208611,16.880814694,PBOX,BRC,Fügnerova,Hruška,"""48.755208611,16.880814694"",","5, Fügnerova 2363, 690 02 Břeclav-Břeclav 2, Czechia",81,Fügnerova,2363,69002,Břeclav-Břeclav 2
827,4300639,ParcelBox,PBOX BRC Lidická (Narita),48.769722805,16.890478111,PBOX,BRC,Lidická,Narita,"""48.769722805,16.890478111"",","Lidická 2183, 690 03 Břeclav-Břeclav 3, Czechia",82,Lidická,2183,69003,Břeclav-Břeclav 3
98,4482529,ParcelBox,PBOX BRC Lidická (Tesco),48.780192111,16.90202925,PBOX,BRC,Lidická,Tesco,"""48.780192111,16.90202925"",","Lidická 3341/137, 690 02 Břeclav-Břeclav 2, Czechia",83,Lidická,3341/137,69002,Břeclav-Břeclav 2
273,4532325,ParcelBox,PBOX BRC NaValtické (L.A.),48.757026388,16.857615805000002,PBOX,BRC,NaValtické,L.A.,"""48.757026388,16.857615805000002"",","Na Valtické 338/5, 691 41 Břeclav-Břeclav 4, Czechia",84,Na Valtické,338/5,69141,Břeclav-Břeclav 4
1887,4584221,ParcelBox,PBOX BRD Dobrovická (COOP),50.330449194,14.867388111,PBOX,BRD,Dobrovická,COOP,"""50.330449194,14.867388111"",","Dobrovická 377, 294 73 Brodce-Brodce nad Jizerou, Czechia",85,Dobrovická,377,29473,Brodce-Brodce nad Jizerou
194,4496078,ParcelBox,PBOX BRE Březnice (Úřad),49.185730305,17.660265805,PBOX,BRE,Březnice,Úřad,"""49.185730305,17.660265805"",","Březnice 485, 760 01 Březnice, Czechia",86,Březnice,485,76001,Březnice
599,4558671,ParcelBox,PBOX BRE Hlubyňská (Město),49.558704388,13.946269694,PBOX,BRE,Hlubyňská,Město,"""49.558704388,13.946269694"",","Březnice,aut.st., 262 72 Březnice, Czechia",87,Březnice,,26272,Březnice
805,4298815,ParcelBox,PBOX BRE Ludvíka Kuby (Plavec),49.558093888,13.959395611,PBOX,BRE,Ludvíka Kuby,Plavec,"""49.558093888,13.959395611"",","L. Kuby 251, 262 72 Březnice, Czechia",88,L. Kuby,251,26272,Březnice
637,4560193,ParcelBox,PBOX BRH Brloh,48.929064388,14.220578111,PBOX,BRH,Brloh,chybi,"""48.929064388,14.220578111"",","Brloh 56, 382 06 Brloh, Czechia",89,Brloh,56,38206,Brloh
124,4487946,ParcelBox,PBOX BRN Bystrcká (UNIHOBBY),49.224842416,16.537882666,PBOX,BRN,Bystrcká,UNIHOBBY,"""49.224842416,16.537882666"",","Bystrcká 38, 624 00 Brno-Brno-Komín, Czechia",90,Bystrcká,38,62400,Brno-Brno-Komín
110,4486034,ParcelBox,PBOX BRN Čeňka Růžičky (Pivnice),49.166941888,16.575251388,PBOX,BRN,Čeňka Růžičky,Pivnice,"""49.166941888,16.575251388"",","Čeňka Růžičky 777/14, 625 00 Brno-Bohunice, Czechia",91,Čeňka Růžičky,777/14,62500,Brno-Bohunice
3549,4588547,ParcelBox,PBOX BRN Durďákova (Reb.Pole),49.203725805,16.618398305,PBOX,BRN,Durďákova,Reb.Pole,"""49.203725805,16.618398305"",","Černopolní 214/18, 613 00 Brno-Brno-sever, Czechia",92,Černopolní,214/18,61300,Brno-Brno-sever
1138,4389994,ParcelBox,PBOX BRN Fryčajova (Potravin),49.236002194,16.643808305,PBOX,BRN,Fryčajova,Potravin,"""49.236002194,16.643808305"",","Fryčajova 532/147, 614 00 Brno-Maloměřice a Obřany, Czechia",93,Fryčajova,532/147,61400,Brno-Maloměřice a Obřany
949,4326271,ParcelBox,PBOX BRN Heršpická (OMV),49.174663611,16.601846694,PBOX,BRN,Heršpická,OMV,"""49.174663611,16.601846694"",","52 11, 639 00 Brno-střed, Czechia",94,52,11,63900,Brno-střed
836,4301178,ParcelBox,PBOX BRN Hradecká (D-Oil),49.270777805,16.576089194,PBOX,BRN,Hradecká,D-Oil,"""49.270777805,16.576089194"",","Hradecká 279/46, 621 00 Brno-Ivanovice, Czechia",95,Hradecká,279/46,62100,Brno-Ivanovice
