ulice,cislo,psc,mesto
sídl. Vajgar,730,37701,Jindřichův Hradec-Jindřichův Hradec III
Komenského,1029,67551,Jaroměřice nad Rokytnou
Sídliště,296,34021,Janovice nad Úhlavou
Jenišov,125,36001,Jenišov
Jindřichovice pod Smrkem,392,46365,Jindřichovice pod Smrkem
K. Marxe,1691,43111,Jirkov-Jirkov 1
U Sauny,1739,43111,Jirkov-Jirkov 1
Vinařická č. ev.,2152,43111,Jirkov-Jirkov 1
Hlavní,183,25090,Jirny-Nové Jirny
Na Ochoze,1270,25242,Jesenice-Jesenice u Prahy
Ve Dvoře,807,25242,Jesenice-Jesenice u Prahy
Lipovská,32,79001,Jeseník-Jeseník 1
Sadová,1376/5,79001,Jeseník-Jeseník 1
Tylova,1154/1,79001,Jeseník-Jeseník 1
Jistebník,158,74282,Jistebník
Radlík,156,25401,Jílové u Prahy
Pražská,48,25401,Jílové u Prahy
Rudných dolů,502,25401,Jílové u Prahy
Tyršova,264,25401,Jílové u Prahy
kulturní dům,,79070,Javorník-Javorník u Jeseníku
Palackého nám.,638,56943,Jevíčko
Zdislavy z Lemberka,137,47125,Jablonné v Podještědí
Kpt. Jaroše,1954,43201,Kadaň-Kadaň 1
Na Podlesí,1482/1482,43201,Kadaň-Kadaň 1
