id2,id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude,box_type,city_abbr,street,note,slouceny,address,latlong
542,4554401,ParcelBox,True,"2025-05-03T09:14:43,237",PBOX BPE Biskupice (COOP),Free,49.084468888,17.709432805,PBOX,BPE,Biskupice,COOP,"""49.084468888,17.709432805"",","Biskupice, 763 41 Biskupice-Biskupice u Luhačovic, Czechia","49.084468888,17.709432805"
1245,4435952,ParcelBox,True,"2025-05-04T16:33:23,553",PBOX BPH Školní (U ENAPO),Free,49.400737194,17.681587194,PBOX,BPH,Školní,U ENAPO,"""49.400737194,17.681587194"",","Bystřice p.Host., ZŠ Bratrství, 768 61 Bystřice pod Hostýnem-Bystřice pod Hostýnem 1, Czechia","49.400737194,17.681587194"
354,4540734,ParcelBox,True,"2025-05-03T10:34:39,967",PBOX BPH Tyršova (Adam ex.),Free,49.3968575,17.669986694,PBOX,BPH,Tyršova,Adam ex.,"""49.3968575,17.669986694"",","Tyršova 642, 768 61 Bystřice pod Hostýnem-Bystřice pod Hostýnem 1, Czechia","49.3968575,17.669986694"
1921,4587427,ParcelBox,True,"2025-05-04T16:55:33,153",PBOX BPI Dvořákova (obchod),Free,50.740640305,14.310726694,PBOX,BPI,Dvořákova,obchod,"""50.740640305,14.310726694"",","Dvořákova 624, 407 22 Benešov nad Ploučnicí, Czechia","50.740640305,14.310726694"
370,4541695,ParcelBox,True,"2025-05-03T21:34:34,857",PBOX BPI Sídliště (Potravin),Free,50.741788888,14.304098111,PBOX,BPI,Sídliště,Potravin,"""50.741788888,14.304098111"",","Sídliště 695, 407 22 Benešov nad Ploučnicí, Czechia","50.741788888,14.304098111"
1832,4579536,ParcelBox,True,"2025-05-04T16:15:22,303",PBOX BPM Spojovací (Flop),Free,49.525665305,16.252536388,PBOX,BPM,Spojovací,Flop,"""49.525665305,16.252536388"",","Spojovací 669, 593 01 Bystřice nad Pernštejnem, Czechia","49.525665305,16.252536388"
1009,4334624,ParcelBox,True,"2025-05-04T16:53:00,473",PBOX BRC 17. Listopadu (KD),Free,48.757593111,16.884211888,PBOX,BRC,17. Listopadu,KD,"""48.757593111,16.884211888"",","1, 17. listopadu 2964, 690 02 Břeclav-Břeclav 2, Czechia","48.757593111,16.884211888"
716,4271384,ParcelBox,True,"2025-05-04T16:32:33,493",PBOX BRC Fügnerova (Hruška),Free,48.755208611,16.880814694,PBOX,BRC,Fügnerova,Hruška,"""48.755208611,16.880814694"",","5, Fügnerova 2363, 690 02 Břeclav-Břeclav 2, Czechia","48.755208611,16.880814694"
827,4300639,ParcelBox,True,"2025-05-04T13:32:42,350",PBOX BRC Lidická (Narita),Free,48.769722805,16.890478111,PBOX,BRC,Lidická,Narita,"""48.769722805,16.890478111"",","Lidická 2183, 690 03 Břeclav-Břeclav 3, Czechia","48.769722805,16.890478111"
98,4482529,ParcelBox,True,"2025-05-02T18:14:28,907",PBOX BRC Lidická (Tesco),Free,48.780192111,16.90202925,PBOX,BRC,Lidická,Tesco,"""48.780192111,16.90202925"",","Lidická 3341/137, 690 02 Břeclav-Břeclav 2, Czechia","48.780192111,16.90202925"
273,4532325,ParcelBox,True,"2025-05-04T09:34:23,337",PBOX BRC NaValtické (L.A.),Free,48.757026388,16.857615805000002,PBOX,BRC,NaValtické,L.A.,"""48.757026388,16.857615805000002"",","Na Valtické 338/5, 691 41 Břeclav-Břeclav 4, Czechia","48.757026388,16.857615805000002"
1887,4584221,ParcelBox,True,"2025-05-04T15:55:22,617",PBOX BRD Dobrovická (COOP),Free,50.330449194,14.867388111,PBOX,BRD,Dobrovická,COOP,"""50.330449194,14.867388111"",","Dobrovická 377, 294 73 Brodce-Brodce nad Jizerou, Czechia","50.330449194,14.867388111"
194,4496078,ParcelBox,True,"2025-05-03T13:54:20,707",PBOX BRE Březnice (Úřad),Free,49.185730305,17.660265805,PBOX,BRE,Březnice,Úřad,"""49.185730305,17.660265805"",","Březnice 485, 760 01 Březnice, Czechia","49.185730305,17.660265805"
599,4558671,ParcelBox,True,"2025-05-02T17:14:58,750",PBOX BRE Hlubyňská (Město),Free,49.558704388,13.946269694,PBOX,BRE,Hlubyňská,Město,"""49.558704388,13.946269694"",","Březnice,aut.st., 262 72 Březnice, Czechia","49.558704388,13.946269694"
805,4298815,ParcelBox,True,"2025-05-03T07:12:49,303",PBOX BRE Ludvíka Kuby (Plavec),Free,49.558093888,13.959395611,PBOX,BRE,Ludvíka Kuby,Plavec,"""49.558093888,13.959395611"",","L. Kuby 251, 262 72 Březnice, Czechia","49.558093888,13.959395611"
637,4560193,ParcelBox,True,"2025-05-01T17:15:31,520",PBOX BRH Brloh,Free,48.929064388,14.220578111,PBOX,BRH,Brloh,chybi,"""48.929064388,14.220578111"",","Brloh 56, 382 06 Brloh, Czechia","48.929064388,14.220578111"
124,4487946,ParcelBox,True,"2025-05-04T06:54:26,440",PBOX BRN Bystrcká (UNIHOBBY),Free,49.224842416,16.537882666,PBOX,BRN,Bystrcká,UNIHOBBY,"""49.224842416,16.537882666"",","Bystrcká 38, 624 00 Brno-Brno-Komín, Czechia","49.224842416,16.537882666"
110,4486034,ParcelBox,True,"2025-05-04T12:14:09,050",PBOX BRN Čeňka Růžičky (Pivnice),Free,49.166941888,16.575251388,PBOX,BRN,Čeňka Růžičky,Pivnice,"""49.166941888,16.575251388"",","Čeňka Růžičky 777/14, 625 00 Brno-Bohunice, Czechia","49.166941888,16.575251388"
